lemma,pos,ner
.,.,O
for,IN,O
some,DT,O
year,NNS,O
he,PRP,O
have,VBZ,O
practically,RB,O
withdraw,VBN,O
from,IN,O
the,DT,O
business,NN,O
",",",",O
in,IN,O
which,WDT,O
he,PRP,O
be,VBZ,O
say,VBN,O
to,TO,O
have,VB,O
amass,VBN,O
considerable,JJ,O
wealth,NN,O
.,.,O
a,DT,O
small,JJ,O
timber,NN,O
-,HYPH,O
yard,NN,O
still,RB,O
exist,VBZ,O
",",",",O
however,RB,O
",",",",O
at,IN,O
the,DT,O
back,NN,O
of,IN,O
the,DT,O
house,NN,O
",",",",O
and,CC,O
last,JJ,TIME
night,NN,TIME
",",",",O
about,IN,O
twelve,CD,O
o'clock,NN,O
",",",",O
a,DT,O
alarm,NN,O
be,VBD,O
give,VBN,O
that,IN,O
one,CD,O
of,IN,O
the,DT,O
stack,NNS,O
be,VBD,O
on,IN,O
fire,NN,O
.,.,O
the,DT,O
engine,NNS,O
be,VBD,O
soon,RB,O
upon,IN,O
the,DT,O
spot,NN,O
",",",",O
but,CC,O
the,DT,O
dry,JJ,O
wood,NN,O
burn,VBN,O
with,IN,O
great,JJ,O
fury,NN,O
",",",",O
and,CC,O
it,PRP,O
be,VBD,O
impossible,JJ,O
to,TO,O
arrest,VB,O
the,DT,O
conflagration,NN,O
until,IN,O
the,DT,O
stack,NN,O
have,VBD,O
be,VBN,O
entirely,RB,O
consume,VBN,O
.,.,O
up,IN,O
to,IN,O
this,DT,O
point,NN,O
the,DT,O
incident,NN,O
bear,VBD,O
the,DT,O
appearance,NN,O
of,IN,O
a,DT,O
ordinary,JJ,O
accident,NN,O
",",",",O
but,CC,O
fresh,JJ,O
indication,NNS,O
seem,VBP,O
to,TO,O
point,VB,O
to,IN,O
serious,JJ,O
crime,NN,O
.,.,O
Surprise,NNP,O
be,VBD,O
express,VBN,O
at,IN,O
the,DT,O
absence,NN,O
of,IN,O
the,DT,O
master,NN,O
of,IN,O
the,DT,O
establishment,NN,O
from,IN,O
the,DT,O
scene,NN,O
of,IN,O
the,DT,O
fire,NN,O
",",",",O
and,CC,O
a,DT,O
inquiry,NN,O
follow,VBD,O
",",",",O
which,WDT,O
show,VBD,O
that,IN,O
he,PRP,O
have,VBD,O
disappear,VBN,O
from,IN,O
the,DT,O
house,NN,O
.,.,O
a,DT,O
examination,NN,O
of,IN,O
he,PRP$,O
room,NN,O
reveal,VBD,O
that,IN,O
the,DT,O
bed,NN,O
have,VBD,O
not,RB,O
be,VBN,O
sleep,VBN,O
in,IN,O
",",",",O
that,IN,O
a,DT,O
safe,JJ,O
which,WDT,O
stand,VBD,O
in,IN,O
it,PRP,O
be,VBD,O
open,JJ,O
",",",",O
that,IN,O
a,DT,O
number,NN,O
of,IN,O
important,JJ,O
papers,NNS,O
be,VBD,O
scatter,VBN,O
about,IN,O
the,DT,O
room,NN,O
",",",",O
and,CC,O
",",",",O
finally,RB,O
",",",",O
that,IN,O
there,EX,O
be,VBD,O
