,count,dirty_character,strongly_suggested,similarity,clean_character
739,2,James McCarthy,,,
740,2,Sawyer,,,
741,2,Saxon,,,
742,2,James Damery,,,
743,2,Mr. Godfrey,,,
744,2,Sarah Cushing,,,
745,2,Mr. Godfrey Norton,Godfrey Norton,[1.8744746321952062],
746,2,Harley Street,,,
747,2,Sergius,,,
748,2,Jabez Wilson,Jabez Wilson,[2.0],
749,2,Jabez Gilchrist,,,
750,2,Sherman,,,
751,2,Isadora Klein,,,
752,2,Isa Whitney,,,
753,2,Mr. Hardy,Mr. Hardy,[2.0],
754,2,James Windibank,James Windibank,[2.0],
755,2,Jane Stewart,,,
756,2,Ikey Sanders,,,
757,2,Rucastles,,,
758,2,Rodger,,,
759,2,Rodger Prescott,,,
760,2,Mr. Detective,,,
761,2,John Swain,John Swain,[2.0],
762,2,John Mitton,,,
763,2,John McMurdo,,,
764,2,Mr. Doran,,,
765,2,Rucastle,,,
766,2,John Horner,,,
767,2,John Hector McFarlane,,,
768,2,Mrs. Hayes,,,
769,2,Mrs. Lexington,,,
770,2,John Clayton,John Clay,[1.8528028654224418],
771,2,Bob Carruthers,,,
772,2,Saltire,,,
773,2,Sam Brewer,,,
774,2,Bob Ferguson,,,
775,2,Jefferson,,,
776,2,Jean Baptiste Greuze,,,
777,2,Mr. Forbes,Forbes,[1.7453559924999298],
778,2,Mr. Harris,,,
779,2,Jack James,,,
780,2,Bodymaster McGinty,,,
781,2,Bradley,,,
782,2,Harrow,,,
783,2,Hilda Trelawney Hope,,,
784,2,Helen,,,
785,2,Harrow Weald,,,
786,2,Harvey,,,
787,2,Barnes,,,
788,2,Henry Wood,,,
789,2,Somerton,,,
790,2,Alec Fairbairn,,,
791,2,Hatherley,,,
792,2,Henry Baker,,,
793,2,Stapletons,,,
794,2,Brenda Tregennis,,,
795,2,Henri Fournaye,,,
796,2,Sophy,,,
797,2,Spence Munro,,,
798,2,Stark,,,
799,2,Howells,,,
800,2,Boer,,,
801,2,Hugo,,,
802,2,Simon,,,
803,2,Harraway,,,
804,2,Horace,Horace,[2.0],
805,2,Harold Latimer,,,
806,2,Mr. Henderson,,,
807,2,Algar,,,
808,2,Sinclair,,,
809,2,Slaney,,,
810,1,Arthur Charpentier,,,
811,1,Atwood,,,
812,1,Mr. Standback,,,
813,1,Mrs. Larbey,,,
814,1,Athene,,,
815,1,Arthur Willaby,,,
816,1,Arthur Cadogan West,,,
817,1,Muller,,,
818,1,Mr. Slaney,,,
819,1,Armitage--Percy Armitage,,,
820,1,Arthur Pinner,,,
821,1,Mr. Silas Brown,,,
822,1,Mrs. Woodley,,,
823,1,Mrs. Sawyer,,,
824,1,Mrs. Amberley,,,
825,1,Mrs. Lucca,,,
826,1,Mrs. Francis Hay Moulton,,,
827,1,Mr. Stanger,,,
828,1,Mrs. McGregor,,,
829,1,Mr. Victor Hatherley,,,
830,1,Mrs. Peters,,,
831,1,Mrs. Farintosh,,,
